;dia;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic;year
0;1;;;;852.03;;806.32;821.23;;776.46;788.15;;767.29;2020
1;2;;;;863.81;;796.46;816.29;;770.59;785.04;;760.16;2020
2;3;;;;861.89;;782.86;803.98;;771.45;785.04;;755.34;2020
3;4;;;;861.89;;769.13;803.98;;773.71;785.04;;752.03;2020
4;5;;;;861.89;;775.58;803.98;;773.71;790.81;;752.03;2020
5;6;;;;863.99;;775.58;801.46;;773.71;794.34;;752.03;2020
6;7;;;;853.91;;775.58;798.79;;773.76;797.35;;747.61;2020
7;8;;;;842.05;;764.97;793.88;;773.24;795.05;;747.61;2020
8;9;;;;851.9;;769.26;786.18;;776.65;797.25;;744.82;2020
9;10;;;;851.9;;771.96;781.74;;767.87;797.25;;739.45;2020
10;11;;;;851.9;;767.93;781.74;;764.99;797.25;;738.17;2020
11;12;;;;851.9;;784.65;781.74;;764.99;797.25;;738.17;2020
12;13;;;;839.49;;784.65;790.82;;764.99;796.05;;738.17;2020
13;14;;;;844.57;;784.65;788.22;;768.34;797.66;;733.55;2020
14;15;;;;848.63;;790.73;787.87;;767.01;798.56;;731.58;2020
15;16;;;;859.31;;796.87;787.87;;760.01;801.91;;734.23;2020
16;17;;;;852.52;;779.1;787.5;;761.54;801.91;;735.09;2020
17;18;;;;852.52;;798.53;787.5;;761.54;801.91;;723.44;2020
18;19;;;;852.52;;812.19;787.5;;761.54;795.68;;723.44;2020
19;20;;;;849.45;;812.19;787.26;;761.54;788.27;;723.44;2020
20;21;;;;856.23;;812.19;786.04;;764.34;786.66;;723.85;2020
21;22;;;;862.06;;817.33;777.66;;772.83;784.07;;730.7;2020
22;23;;;;856.51;;816.02;769.06;;773.4;781.41;;728.96;2020
23;24;;;;858.87;;817.9;767.17;;781.44;781.41;;716.25;2020
24;25;;;;858.87;;820.68;767.17;;788.02;781.41;;716.25;2020
25;26;;;;858.87;;813.25;767.17;;788.02;777.72;;716.25;2020
26;27;;;;859.95;;813.25;768.63;;788.02;779.57;;716.25;2020
27;28;;;;856.76;;813.25;768.81;;787.15;772.05;;710.26;2020
28;29;;;;850.41;;813.25;767.82;;784.19;775.56;;710.64;2020
29;30;;;;836.62;;816.36;759.18;;784.46;770.45;;711.24;2020
30;31;;;;836.62;;816.36;754.45;;784.46;770.45;;711.24;2020
